horse_number,horse_name,description,odds,result_position
1,JIBI DU FRUITIER,Ce protégé de la famille Bruneau n'a pu convaincre lors de sa rentrée à Vannes et sera seulement plaqué cette fois. Il s'attaque à forte partie et aura de meilleures opportunités prochainement. Sa tâche s'annonce difficile.,77/1,7
2,KEY OF LOVE,Après avoir animé les débats dans le Prix du Perreux (Gr.3) le 13 mai à Vincennes elle a simplement été dominée par l'excellent Lord Délo. Elle adore ce parcours lavallois (trois podiums en quatre sorties) et ne devrait pas décevoir.,7/1,2
10,JOLIE STAR,Invaincue en trois sorties pour sa première campagne. Elle bénéficie d'un très bon potentiel de progression. À surveiller de près.,20/1,3
3,LORD DÉLO,Excellent cheval qui a dominé la compétition récemment. Forme impressionnante en ce moment.,5/1,1
4,CHAMPION NOIR,Cheval avec expérience mais montrant des signes de fatigue. Difficile de faire mieux.,25/1,8
5,VEDETTE COURTE,Podiums multiples mais rentrée douteuse cette saison. Opportunités à venir.,15/1,5
6,RAPIDE ÉCLAIR,Invaincue en deux sorties. Potentiel énorme mais peu d'expérience.,12/1,4
7,BELLE VICTOIRE,Trois victoires consécutives! Favorite claire de cette épreuve.,2/1,6
8,FORT COURAGE,Excellent dossier avec nombreux podiums. Fiable et régulier.,8/1,9
9,RÊVE LAVALLOIS,Adore ce parcours avec trois podiums en quatre sorties. À surveiller.,10/1,10
